row_id,column,value,confidence,source
2161,beer_name,Double Trunk,1.0000,baran
771,beer_name,Torrance,1.0000,baran
1692,beer_name,Double Trunk,1.0000,baran
1731,beer_name,Torrance,1.0000,baran
1960,beer_name,Torrance,1.0000,baran
2110,beer_name,Double Trunk,1.0000,baran
2270,beer_name,Double Trunk,1.0000,baran
2161,ounces,16,1.0000,baran
22,ounces,16,1.0000,baran
55,ounces,16,1.0000,baran
60,ounces,16,1.0000,baran
68,ounces,16,1.0000,baran
73,ounces,16,1.0000,baran
74,ounces,16,1.0000,baran
76,ounces,16,1.0000,baran
78,ounces,16,1.0000,baran
84,ounces,16,1.0000,baran
85,ounces,16,1.0000,baran
96,ounces,16,1.0000,baran
131,ounces,16,1.0000,baran
152,ounces,16,1.0000,baran
221,ounces,16,1.0000,baran
223,ounces,16,1.0000,baran
240,ounces,16,1.0000,baran
242,ounces,16,1.0000,baran
269,ounces,16,1.0000,baran
398,ounces,16,1.0000,baran
399,ounces,16,1.0000,baran
425,ounces,16,1.0000,baran
428,ounces,16,1.0000,baran
448,ounces,16,1.0000,baran
449,ounces,16,1.0000,baran
465,ounces,16,1.0000,baran
499,ounces,16,1.0000,baran
501,ounces,16,1.0000,baran
503,ounces,16,1.0000,baran
546,ounces,16,1.0000,baran
551,ounces,16,1.0000,baran
590,ounces,16,1.0000,baran
631,ounces,16,1.0000,baran
651,ounces,16,1.0000,baran
677,ounces,16,1.0000,baran
678,ounces,16,1.0000,baran
728,ounces,16,1.0000,baran
735,ounces,16,1.0000,baran
744,ounces,16,1.0000,baran
749,ounces,16,1.0000,baran
778,ounces,16,1.0000,baran
782,ounces,16,1.0000,baran
790,ounces,16,1.0000,baran
798,ounces,16,1.0000,baran
801,ounces,16,1.0000,baran
804,ounces,16,1.0000,baran
832,ounces,16,1.0000,baran
836,ounces,16,1.0000,baran
885,ounces,16,1.0000,baran
894,ounces,16,1.0000,baran
902,ounces,16,1.0000,baran
906,ounces,16,1.0000,baran
916,ounces,16,1.0000,baran
931,ounces,16,1.0000,baran
939,ounces,16,1.0000,baran
941,ounces,16,1.0000,baran
943,ounces,16,1.0000,baran
945,ounces,16,1.0000,baran
969,ounces,16,1.0000,baran
