row_id,column
704093,journal_title
674623,journal_title
881020,journal_title
855099,journal_title
759501,journal_title
63738,journal_title
922646,journal_issn
334681,journal_issn
587024,journal_issn
743989,journal_issn
964184,journal_issn
265490,journal_issn
641251,journal_issn
711975,journal_issn
356635,journal_issn
6786,journal_issn
685456,journal_issn
752075,journal_issn
498345,article_jvolumn
237623,article_jvolumn
255432,article_jvolumn
657210,article_jvolumn
143029,article_jvolumn
979059,article_jvolumn
735083,article_jvolumn
226419,article_jvolumn
734870,article_jvolumn
232896,article_jvolumn
81959,article_jvolumn
563505,article_jvolumn
98562,article_jvolumn
911271,article_jvolumn
385772,article_jvolumn
600827,article_jvolumn
30272,article_jvolumn
26475,article_jvolumn
476191,article_jvolumn
847600,article_jvolumn
157566,article_jvolumn
18298,article_jvolumn
100986,article_jvolumn
71351,article_jvolumn
603381,article_jvolumn
98479,article_jvolumn
894794,article_jvolumn
226417,article_jvolumn
498345,article_jissue
340222,article_jissue
668310,article_jissue
379737,article_jissue
530323,article_jissue
158672,article_jissue
852927,article_jissue
237623,article_jissue
668845,article_jissue
131820,article_jissue
42135,article_jissue
657210,article_jissue
143029,article_jissue
667611,article_jissue
55412,article_jissue
979059,article_jissue
922795,article_jissue
519287,article_jissue
759329,article_jissue
188890,article_jissue
735083,article_jissue
226419,article_jissue
887131,article_jissue
734870,article_jissue
689666,article_jissue
232896,article_jissue
81959,article_jissue
563505,article_jissue
793410,article_jissue
852332,article_jissue
119186,article_jissue
209896,article_jissue
687404,article_jissue
98562,article_jissue
56014,article_jissue
385772,article_jissue
405141,article_jissue
408198,article_jissue
30272,article_jissue
751811,article_jissue
26475,article_jissue
476191,article_jissue
52681,article_jissue
107417,article_jissue
743394,article_jissue
24026,article_jissue
847600,article_jissue
416171,article_jissue
157566,article_jissue
84941,article_jissue
758629,article_jissue
18298,article_jissue
572343,article_jissue
100986,article_jissue
71351,article_jissue
793299,article_jissue
98479,article_jissue
197174,article_jissue
109843,article_jissue
643856,article_jissue
575935,article_jissue
160121,article_jissue
226417,article_jissue
498345,article_jcreated_at
789958,article_jcreated_at
169865,article_jcreated_at
98234,article_jcreated_at
396821,article_jcreated_at
340222,article_jcreated_at
184417,article_jcreated_at
729686,article_jcreated_at
278396,article_jcreated_at
965082,article_jcreated_at
53321,article_jcreated_at
668310,article_jcreated_at
282987,article_jcreated_at
478292,article_jcreated_at
82614,article_jcreated_at
163526,article_jcreated_at
514411,article_jcreated_at
6207,article_jcreated_at
21910,article_jcreated_at
378490,article_jcreated_at
971878,article_jcreated_at
793918,article_jcreated_at
819166,article_jcreated_at
880881,article_jcreated_at
379737,article_jcreated_at
676042,article_jcreated_at
353972,article_jcreated_at
968125,article_jcreated_at
660168,article_jcreated_at
732534,article_jcreated_at
110072,article_jcreated_at
330553,article_jcreated_at
23215,article_jcreated_at
719532,article_jcreated_at
530323,article_jcreated_at
102893,article_jcreated_at
864817,article_jcreated_at
217725,article_jcreated_at
730822,article_jcreated_at
659297,article_jcreated_at
42247,article_jcreated_at
302969,article_jcreated_at
158672,article_jcreated_at
221086,article_jcreated_at
548616,article_jcreated_at
669596,article_jcreated_at
474288,article_jcreated_at
841679,article_jcreated_at
173830,article_jcreated_at
852927,article_jcreated_at
237623,article_jcreated_at
912884,article_jcreated_at
318931,article_jcreated_at
93659,article_jcreated_at
349150,article_jcreated_at
826030,article_jcreated_at
574309,article_jcreated_at
421512,article_jcreated_at
715052,article_jcreated_at
172966,article_jcreated_at
140274,article_jcreated_at
282039,article_jcreated_at
835177,article_jcreated_at
761104,article_jcreated_at
408062,article_jcreated_at
889481,article_jcreated_at
894596,article_jcreated_at
604985,article_jcreated_at
220950,article_jcreated_at
770196,article_jcreated_at
914468,article_jcreated_at
346326,article_jcreated_at
612846,article_jcreated_at
282053,article_jcreated_at
870257,article_jcreated_at
417578,article_jcreated_at
949067,article_jcreated_at
931323,article_jcreated_at
752456,article_jcreated_at
377284,article_jcreated_at
420138,article_jcreated_at
816680,article_jcreated_at
491006,article_jcreated_at
628299,article_jcreated_at
72089,article_jcreated_at
847287,article_jcreated_at
764224,article_jcreated_at
591619,article_jcreated_at
255432,article_jcreated_at
689284,article_jcreated_at
781141,article_jcreated_at
148787,article_jcreated_at
779281,article_jcreated_at
585766,article_jcreated_at
185291,article_jcreated_at
922646,article_jcreated_at
843485,article_jcreated_at
668845,article_jcreated_at
863844,article_jcreated_at
946006,article_jcreated_at
36429,article_jcreated_at
259367,article_jcreated_at
977276,article_jcreated_at
334681,article_jcreated_at
757463,article_jcreated_at
812893,article_jcreated_at
513829,article_jcreated_at
862798,article_jcreated_at
316632,article_jcreated_at
38413,article_jcreated_at
595469,article_jcreated_at
49698,article_jcreated_at
900624,article_jcreated_at
246528,article_jcreated_at
957059,article_jcreated_at
267879,article_jcreated_at
182986,article_jcreated_at
663994,article_jcreated_at
754594,article_jcreated_at
817046,article_jcreated_at
736183,article_jcreated_at
963532,article_jcreated_at
131820,article_jcreated_at
704093,article_jcreated_at
912377,article_jcreated_at
68354,article_jcreated_at
259916,article_jcreated_at
199407,article_jcreated_at
790756,article_jcreated_at
592893,article_jcreated_at
232775,article_jcreated_at
631610,article_jcreated_at
901298,article_jcreated_at
429995,article_jcreated_at
709359,article_jcreated_at
690938,article_jcreated_at
910604,article_jcreated_at
730191,article_jcreated_at
42135,article_jcreated_at
835178,article_jcreated_at
335521,article_jcreated_at
22708,article_jcreated_at
704111,article_jcreated_at
804762,article_jcreated_at
657210,article_jcreated_at
490584,article_jcreated_at
929252,article_jcreated_at
821382,article_jcreated_at
925885,article_jcreated_at
717315,article_jcreated_at
967781,article_jcreated_at
928952,article_jcreated_at
225002,article_jcreated_at
550350,article_jcreated_at
622979,article_jcreated_at
501663,article_jcreated_at
48738,article_jcreated_at
143029,article_jcreated_at
667611,article_jcreated_at
565079,article_jcreated_at
55412,article_jcreated_at
546048,article_jcreated_at
979292,article_jcreated_at
971456,article_jcreated_at
533193,article_jcreated_at
970436,article_jcreated_at
417782,article_jcreated_at
979059,article_jcreated_at
132901,article_jcreated_at
245822,article_jcreated_at
77389,article_jcreated_at
592817,article_jcreated_at
169270,article_jcreated_at
288711,article_jcreated_at
184949,article_jcreated_at
833251,article_jcreated_at
315926,article_jcreated_at
787529,article_jcreated_at
481882,article_jcreated_at
572425,article_jcreated_at
581864,article_jcreated_at
696362,article_jcreated_at
504206,article_jcreated_at
800900,article_jcreated_at
235689,article_jcreated_at
659896,article_jcreated_at
84944,article_jcreated_at
326944,article_jcreated_at
922795,article_jcreated_at
768486,article_jcreated_at
519287,article_jcreated_at
638918,article_jcreated_at
111336,article_jcreated_at
674696,article_jcreated_at
258108,article_jcreated_at
59308,article_jcreated_at
610641,article_jcreated_at
973076,article_jcreated_at
931402,article_jcreated_at
908690,article_jcreated_at
417373,article_jcreated_at
759329,article_jcreated_at
386327,article_jcreated_at
695010,article_jcreated_at
191908,article_jcreated_at
384767,article_jcreated_at
855912,article_jcreated_at
816996,article_jcreated_at
625016,article_jcreated_at
