row_id,column,value,confidence,source
1,act_arr_time,9:22 a.m.,0.6974,bclean
2,act_dep_time,7:59 p.m.,0.8379,bclean
2,act_arr_time,10:28 p.m.,0.8100,bclean
3,act_dep_time,7:58 p.m.,0.5000,bclean
6,sched_arr_time,6:55 a.m.,0.9525,bclean
6,act_dep_time,7:58 p.m.,0.5000,bclean
15,act_arr_time,3:19 p.m.,0.6710,bclean
30,act_dep_time,11:02 a.m.,0.5272,bclean
32,sched_arr_time,5:50 a.m.,1.0000,bclean
32,act_dep_time,7:58 p.m.,0.5000,bclean
33,sched_arr_time,12:15 a.m.,0.9010,bclean
33,act_dep_time,7:58 p.m.,0.5000,bclean
34,act_dep_time,7:58 p.m.,0.5000,bclean
37,sched_arr_time,3:30 p.m.,0.5295,bclean
37,sched_dep_time,7:10 a.m.,0.9408,bclean
37,act_dep_time,7:58 p.m.,0.5000,bclean
38,act_dep_time,8:30 p.m.,0.5503,bclean
38,act_arr_time,9:19 p.m.,1.0000,bclean
51,sched_dep_time,4:15 p.m.,0.5000,bclean
52,act_dep_time,7:59 p.m.,0.9946,bclean
53,sched_dep_time,4:15 p.m.,0.5000,bclean
53,act_arr_time,9:28 a.m.,0.8000,bclean
54,sched_arr_time,11:55 a.m.,1.0000,bclean
54,sched_dep_time,8:00 a.m.,1.0000,bclean
54,act_arr_time,11:58 a.m.,0.9935,bclean
55,sched_dep_time,4:15 p.m.,0.5000,bclean
55,act_dep_time,7:25 a.m.,0.5385,bclean
56,sched_dep_time,4:15 p.m.,0.5000,bclean
57,sched_dep_time,4:15 p.m.,0.5000,bclean
57,act_arr_time,5:17 p.m.,0.6007,bclean
58,act_dep_time,7:59 p.m.,0.7143,bclean
59,sched_dep_time,4:15 p.m.,0.5000,bclean
59,act_arr_time,4:56 p.m.,0.5005,bclean
60,act_arr_time,11:21 a.m.,0.5561,bclean
61,sched_dep_time,4:15 p.m.,0.5000,bclean
61,act_arr_time,6:35 a.m.,1.0000,bclean
62,sched_arr_time,7:23 a.m.,1.0000,bclean
62,sched_dep_time,6:00 a.m.,1.0000,bclean
62,act_arr_time,7:17 a.m.,0.9948,bclean
63,act_dep_time,7:59 p.m.,0.7143,bclean
64,sched_dep_time,4:15 p.m.,0.5000,bclean
65,act_dep_time,7:59 p.m.,0.7143,bclean
66,act_dep_time,7:59 p.m.,0.7143,bclean
67,sched_dep_time,4:15 p.m.,0.5000,bclean
67,act_dep_time,10:10 a.m.,0.6224,bclean
67,act_arr_time,1:27 p.m.,0.8355,bclean
68,sched_dep_time,4:15 p.m.,0.5000,bclean
69,sched_dep_time,4:15 p.m.,0.5000,bclean
69,act_arr_time,9:45 a.m.,0.7681,bclean
70,sched_dep_time,4:15 p.m.,0.9979,bclean
70,act_arr_time,7:39 p.m.,0.8899,bclean
71,sched_dep_time,10:40 a.m.,0.9961,bclean
72,act_dep_time,7:59 p.m.,0.7143,bclean
73,act_dep_time,7:59 p.m.,0.7143,bclean
74,sched_dep_time,4:15 p.m.,0.5000,bclean
75,sched_arr_time,3:50 p.m.,1.0000,bclean
75,sched_dep_time,11:50 a.m.,0.9981,bclean
75,act_arr_time,4:09 p.m.,0.9663,bclean
76,act_dep_time,7:59 p.m.,0.7143,bclean
77,sched_dep_time,4:15 p.m.,0.5000,bclean
77,act_dep_time,6:08 a.m.,0.5974,bclean
77,act_arr_time,9:05 a.m.,0.7779,bclean
78,sched_dep_time,4:15 p.m.,0.5000,bclean
78,act_arr_time,5:03 p.m.,0.6672,bclean
79,act_dep_time,7:59 p.m.,0.7143,bclean
80,act_dep_time,7:59 p.m.,0.7143,bclean
81,sched_dep_time,4:15 p.m.,0.5000,bclean
82,sched_dep_time,1:00 p.m.,0.9981,bclean
82,act_dep_time,2:04 p.m.,0.9972,bclean
82,act_arr_time,3:19 p.m.,0.6710,bclean
83,sched_dep_time,4:15 p.m.,0.5000,bclean
83,act_arr_time,1:30 p.m.,0.5460,bclean
84,sched_dep_time,4:15 p.m.,0.5000,bclean
84,act_arr_time,3:21 p.m.,0.6864,bclean
85,sched_dep_time,4:15 p.m.,0.5000,bclean
85,act_arr_time,2:01 p.m.,0.5836,bclean
86,sched_arr_time,6:15 p.m.,1.0000,bclean
86,sched_dep_time,2:30 p.m.,0.9964,bclean
86,act_arr_time,5:42 p.m.,0.8741,bclean
87,sched_dep_time,4:15 p.m.,0.5000,bclean
87,act_arr_time,1:08 p.m.,0.5984,bclean
88,act_dep_time,7:59 p.m.,0.7143,bclean
89,sched_arr_time,10:48 p.m.,0.9539,bclean
89,act_dep_time,8:25 p.m.,0.9873,bclean
89,act_arr_time,9:52 p.m.,0.9909,bclean
90,sched_dep_time,10:40 a.m.,0.9986,bclean
90,act_arr_time,2:46 p.m.,0.8738,bclean
91,sched_dep_time,4:15 p.m.,0.5000,bclean
92,act_dep_time,7:59 p.m.,0.7143,bclean
93,sched_dep_time,4:15 p.m.,0.5000,bclean
93,act_arr_time,10:29 a.m.,0.5002,bclean
94,sched_dep_time,4:15 p.m.,0.5000,bclean
95,sched_dep_time,4:15 p.m.,0.5000,bclean
96,sched_dep_time,10:40 a.m.,0.5554,bclean
96,act_dep_time,11:01 a.m.,0.5125,bclean
97,sched_arr_time,12:21 a.m.,0.8807,bclean
97,act_dep_time,7:59 p.m.,0.7143,bclean
98,sched_dep_time,1:00 p.m.,0.9984,bclean
99,act_dep_time,7:59 p.m.,0.7143,bclean
100,sched_dep_time,4:15 p.m.,0.5000,bclean
100,act_dep_time,6:56 a.m.,0.7654,bclean
100,act_arr_time,7:51 a.m.,0.7275,bclean
101,sched_dep_time,4:15 p.m.,0.5000,bclean
102,sched_dep_time,4:15 p.m.,0.5000,bclean
102,act_dep_time,5:08 p.m.,0.9367,bclean
102,act_arr_time,7:55 p.m.,0.7742,bclean
103,sched_dep_time,4:15 p.m.,0.5000,bclean
104,sched_dep_time,4:15 p.m.,0.5000,bclean
104,act_dep_time,3:58 p.m.,0.6667,bclean
105,sched_dep_time,4:15 p.m.,0.5000,bclean
105,act_arr_time,7:36 p.m.,0.5560,bclean
106,sched_dep_time,4:15 p.m.,0.5000,bclean
106,act_arr_time,9:53 p.m.,0.5002,bclean
107,act_dep_time,7:59 p.m.,0.7143,bclean
108,sched_dep_time,4:15 p.m.,0.5000,bclean
108,act_dep_time,7:39 a.m.,0.6364,bclean
109,sched_dep_time,10:40 a.m.,0.9979,bclean
109,act_arr_time,3:04 p.m.,0.8050,bclean
110,sched_arr_time,4:31 p.m.,1.0000,bclean
110,sched_dep_time,1:33 p.m.,1.0000,bclean
110,act_arr_time,4:23 p.m.,0.8240,bclean
111,sched_dep_time,4:15 p.m.,0.5000,bclean
111,act_dep_time,12:41 p.m.,0.7613,bclean
112,act_dep_time,7:59 p.m.,0.7143,bclean
113,sched_dep_time,4:15 p.m.,0.5000,bclean
114,sched_dep_time,4:15 p.m.,0.5000,bclean
114,act_arr_time,12:01 a.m.,1.0000,bclean
115,sched_arr_time,12:15 a.m.,1.0000,bclean
115,sched_dep_time,9:00 p.m.,1.0000,bclean
116,sched_dep_time,8:25 p.m.,0.9973,bclean
117,sched_dep_time,4:15 p.m.,0.5000,bclean
117,act_dep_time,7:22 a.m.,0.6404,bclean
117,act_arr_time,10:04 a.m.,0.9166,bclean
118,sched_arr_time,11:50 a.m.,1.0000,bclean
118,sched_dep_time,8:35 a.m.,1.0000,bclean
118,act_arr_time,11:44 a.m.,0.9073,bclean
119,sched_arr_time,9:24 a.m.,1.0000,bclean
119,sched_dep_time,8:29 a.m.,1.0000,bclean
119,act_dep_time,8:26 a.m.,0.9951,bclean
120,sched_dep_time,4:15 p.m.,0.5000,bclean
121,act_dep_time,7:59 p.m.,0.7143,bclean
122,sched_dep_time,4:15 p.m.,0.5000,bclean
122,act_arr_time,8:45 a.m.,0.5837,bclean
123,sched_arr_time,5:11 a.m.,0.9057,bclean
123,act_dep_time,7:59 p.m.,0.7143,bclean
124,sched_dep_time,4:15 p.m.,0.5000,bclean
125,sched_dep_time,4:15 p.m.,0.5000,bclean
125,act_dep_time,1:50 p.m.,1.0000,bclean
126,sched_dep_time,4:15 p.m.,0.5000,bclean
126,act_arr_time,2:02 p.m.,0.6671,bclean
127,sched_dep_time,4:15 p.m.,0.5000,bclean
127,act_arr_time,9:11 p.m.,0.6671,bclean
128,sched_dep_time,4:15 p.m.,0.5000,bclean
