row_id,column
31,zip
33,zip
42,zip
45,zip
53,zip
62,zip
68,zip
72,zip
86,zip
96,zip
109,zip
115,zip
143,zip
160,zip
163,zip
191,zip
192,zip
202,zip
217,zip
223,zip
226,zip
239,zip
271,zip
273,zip
277,zip
278,zip
280,zip
290,zip
303,zip
312,zip
332,zip
335,zip
346,zip
367,zip
383,zip
385,zip
401,zip
418,zip
422,zip
428,zip
437,zip
462,zip
475,zip
481,zip
482,zip
485,zip
497,zip
531,zip
540,zip
546,zip
551,zip
553,zip
568,zip
570,zip
572,zip
578,zip
589,zip
609,zip
610,zip
640,zip
649,zip
650,zip
651,zip
654,zip
658,zip
670,zip
676,zip
682,zip
692,zip
698,zip
700,zip
712,zip
724,zip
728,zip
737,zip
750,zip
787,zip
803,zip
813,zip
823,zip
828,zip
836,zip
853,zip
854,zip
858,zip
864,zip
873,zip
877,zip
896,zip
899,zip
922,zip
925,zip
928,zip
935,zip
943,zip
948,zip
980,zip
987,zip
988,zip
994,zip
996,zip
1028,zip
1041,zip
1047,zip
1055,zip
1056,zip
1072,zip
1087,zip
1093,zip
1095,zip
1104,zip
1105,zip
1107,zip
1112,zip
1114,zip
1123,zip
1124,zip
1129,zip
1133,zip
1139,zip
1142,zip
1148,zip
1153,zip
1157,zip
1166,zip
1167,zip
1169,zip
1182,zip
1198,zip
1211,zip
1226,zip
1232,zip
1237,zip
1240,zip
1247,zip
1257,zip
1279,zip
1308,zip
1321,zip
1323,zip
1325,zip
1336,zip
1342,zip
1352,zip
1357,zip
1371,zip
1372,zip
1377,zip
1398,zip
1399,zip
1403,zip
1409,zip
1410,zip
1426,zip
1433,zip
1440,zip
1441,zip
1449,zip
1466,zip
1468,zip
1502,zip
1509,zip
1512,zip
1531,zip
1549,zip
1561,zip
1567,zip
1573,zip
1580,zip
1586,zip
1590,zip
1596,zip
1600,zip
1607,zip
1608,zip
1622,zip
1627,zip
1629,zip
1631,zip
1646,zip
1655,zip
1658,zip
1680,zip
1683,zip
1690,zip
1707,zip
1712,zip
1726,zip
1731,zip
1735,zip
1740,zip
1760,zip
1770,zip
1775,zip
1778,zip
1779,zip
1789,zip
