row_id,column,value,confidence,source
360,id,1349,1.0000,baran
1,id,1349,1.0000,baran
2,id,1349,1.0000,baran
3,id,1349,1.0000,baran
5,id,1349,1.0000,baran
10,id,1349,1.0000,baran
11,id,1349,1.0000,baran
13,id,300,1.0000,baran
15,id,1349,1.0000,baran
19,id,300,1.0000,baran
21,id,1349,1.0000,baran
26,id,1349,1.0000,baran
27,id,801,1.0000,baran
28,id,1349,1.0000,baran
29,id,1349,1.0000,baran
30,id,1349,1.0000,baran
32,id,1349,1.0000,baran
36,id,1349,1.0000,baran
38,id,16,1.0000,baran
40,id,1349,1.0000,baran
43,id,1349,1.0000,baran
45,id,1349,1.0000,baran
46,id,1349,1.0000,baran
48,id,300,1.0000,baran
49,id,1349,1.0000,baran
51,id,1349,1.0000,baran
54,id,1349,1.0000,baran
56,id,300,1.0000,baran
58,id,300,1.0000,baran
59,id,300,1.0000,baran
60,id,1349,1.0000,baran
61,id,1349,1.0000,baran
62,id,300,1.0000,baran
63,id,1349,1.0000,baran
64,id,1349,1.0000,baran
66,id,300,1.0000,baran
69,id,300,1.0000,baran
70,id,1349,1.0000,baran
71,id,1349,1.0000,baran
73,id,300,1.0000,baran
76,id,1349,1.0000,baran
79,id,1349,1.0000,baran
81,id,135,1.0000,baran
82,id,1349,1.0000,baran
83,id,300,1.0000,baran
85,id,1349,1.0000,baran
86,id,1349,1.0000,baran
87,id,1349,1.0000,baran
88,id,1349,1.0000,baran
89,id,1349,1.0000,baran
97,id,1349,1.0000,baran
100,id,1349,1.0000,baran
101,id,1349,1.0000,baran
104,id,1349,1.0000,baran
106,id,1349,1.0000,baran
108,id,1349,1.0000,baran
109,id,16,1.0000,baran
110,id,1349,1.0000,baran
111,id,1349,1.0000,baran
112,id,1349,1.0000,baran
116,id,474,1.0000,baran
117,id,1349,1.0000,baran
118,id,300,1.0000,baran
119,id,300,1.0000,baran
120,id,1349,1.0000,baran
122,id,16,1.0000,baran
123,id,1349,1.0000,baran
124,id,1349,1.0000,baran
125,id,1349,1.0000,baran
126,id,1349,1.0000,baran
127,id,1349,1.0000,baran
129,id,1349,1.0000,baran
130,id,1349,1.0000,baran
131,id,300,1.0000,baran
132,id,300,1.0000,baran
133,id,1349,1.0000,baran
135,id,1349,1.0000,baran
138,id,1349,1.0000,baran
139,id,300,1.0000,baran
141,id,16,1.0000,baran
142,id,1349,1.0000,baran
144,id,1349,1.0000,baran
151,id,2503,1.0000,baran
152,id,300,1.0000,baran
153,id,1349,1.0000,baran
154,id,1349,1.0000,baran
155,id,1349,1.0000,baran
156,id,1349,1.0000,baran
158,id,1349,1.0000,baran
162,id,1349,1.0000,baran
163,id,1349,1.0000,baran
164,id,300,1.0000,baran
168,id,300,1.0000,baran
179,id,300,1.0000,baran
183,id,1349,1.0000,baran
184,id,1349,1.0000,baran
186,id,1349,1.0000,baran
189,id,1349,1.0000,baran
190,id,1349,1.0000,baran
191,id,1349,1.0000,baran
193,id,300,1.0000,baran
195,id,1349,1.0000,baran
196,id,1349,1.0000,baran
197,id,1349,1.0000,baran
198,id,1349,1.0000,baran
199,id,300,1.0000,baran
200,id,16,1.0000,baran
201,id,1349,1.0000,baran
204,id,1349,1.0000,baran
205,id,1349,1.0000,baran
209,id,300,1.0000,baran
210,id,300,1.0000,baran
212,id,1349,1.0000,baran
218,id,1349,1.0000,baran
219,id,300,1.0000,baran
221,id,1349,1.0000,baran
222,id,300,1.0000,baran
225,id,1349,1.0000,baran
228,id,300,1.0000,baran
229,id,300,1.0000,baran
230,id,1349,1.0000,baran
233,id,300,1.0000,baran
