row_id,column,value,confidence,source
1288,ounces,12,1.0000,baran
1,ounces,12,1.0000,baran
2,ounces,12,1.0000,baran
3,ounces,12,1.0000,baran
4,ounces,12,1.0000,baran
5,ounces,12,1.0000,baran
6,ounces,12,1.0000,baran
7,ounces,12,1.0000,baran
8,ounces,12,1.0000,baran
9,ounces,12,1.0000,baran
10,ounces,12,1.0000,baran
11,ounces,12,1.0000,baran
12,ounces,12,1.0000,baran
13,ounces,12,1.0000,baran
14,ounces,12,1.0000,baran
15,ounces,12,1.0000,baran
16,ounces,12,1.0000,baran
17,ounces,12,1.0000,baran
18,ounces,12,1.0000,baran
19,ounces,12,1.0000,baran
20,ounces,12,1.0000,baran
21,ounces,12,1.0000,baran
22,ounces,12,1.0000,baran
23,ounces,12,1.0000,baran
24,ounces,12,1.0000,baran
25,ounces,12,1.0000,baran
26,ounces,12,1.0000,baran
27,ounces,12,1.0000,baran
28,ounces,12,1.0000,baran
29,ounces,12,1.0000,baran
30,ounces,12,1.0000,baran
31,ounces,12,1.0000,baran
32,ounces,12,1.0000,baran
33,ounces,12,1.0000,baran
34,ounces,12,1.0000,baran
35,ounces,12,1.0000,baran
36,ounces,12,1.0000,baran
37,ounces,12,1.0000,baran
38,ounces,12,1.0000,baran
39,ounces,12,1.0000,baran
40,ounces,12,1.0000,baran
41,ounces,12,1.0000,baran
42,ounces,12,1.0000,baran
43,ounces,12,1.0000,baran
44,ounces,12,1.0000,baran
45,ounces,12,1.0000,baran
46,ounces,12,1.0000,baran
47,ounces,12,1.0000,baran
48,ounces,12,1.0000,baran
49,ounces,12,1.0000,baran
50,ounces,12,1.0000,baran
51,ounces,16,1.0000,baran
52,ounces,16,1.0000,baran
53,ounces,16,1.0000,baran
54,ounces,16,1.0000,baran
55,ounces,12,1.0000,baran
56,ounces,16,1.0000,baran
57,ounces,16,1.0000,baran
58,ounces,16,1.0000,baran
59,ounces,16,1.0000,baran
60,ounces,16,1.0000,baran
61,ounces,16,1.0000,baran
62,ounces,12,1.0000,baran
63,ounces,12,1.0000,baran
64,ounces,12,1.0000,baran
65,ounces,12,1.0000,baran
66,ounces,12,1.0000,baran
67,ounces,12,1.0000,baran
68,ounces,16,1.0000,baran
69,ounces,16,1.0000,baran
70,ounces,16,1.0000,baran
71,ounces,16,1.0000,baran
72,ounces,16,1.0000,baran
73,ounces,16,1.0000,baran
74,ounces,16,1.0000,baran
75,ounces,16,1.0000,baran
76,ounces,16,1.0000,baran
77,ounces,16,1.0000,baran
78,ounces,16,1.0000,baran
79,ounces,16,1.0000,baran
80,ounces,16,1.0000,baran
81,ounces,16,1.0000,baran
82,ounces,16,1.0000,baran
83,ounces,16,1.0000,baran
84,ounces,16,1.0000,baran
85,ounces,16,1.0000,baran
86,ounces,12,1.0000,baran
87,ounces,16,1.0000,baran
88,ounces,12,1.0000,baran
89,ounces,12,1.0000,baran
90,ounces,12,1.0000,baran
91,ounces,12,1.0000,baran
92,ounces,16,1.0000,baran
93,ounces,16,1.0000,baran
94,ounces,16,1.0000,baran
95,ounces,16,1.0000,baran
96,ounces,16,1.0000,baran
97,ounces,12,1.0000,baran
98,ounces,12,1.0000,baran
99,ounces,12,1.0000,baran
100,ounces,12,1.0000,baran
101,ounces,12,1.0000,baran
102,ounces,12,1.0000,baran
103,ounces,12,1.0000,baran
104,ounces,12,1.0000,baran
105,ounces,12,1.0000,baran
106,ounces,12,1.0000,baran
107,ounces,12,1.0000,baran
108,ounces,12,1.0000,baran
109,ounces,12,1.0000,baran
110,ounces,12,1.0000,baran
111,ounces,16,1.0000,baran
112,ounces,12,1.0000,baran
113,ounces,12,1.0000,baran
114,ounces,12,1.0000,baran
115,ounces,12,1.0000,baran
116,ounces,12,1.0000,baran
117,ounces,12,1.0000,baran
118,ounces,12,1.0000,baran
119,ounces,12,1.0000,baran
120,ounces,16,1.0000,baran
121,ounces,16,1.0000,baran
122,ounces,16,1.0000,baran
123,ounces,16,1.0000,baran
124,ounces,16,1.0000,baran
125,ounces,12,1.0000,baran
126,ounces,12,1.0000,baran
127,ounces,12,1.0000,baran
128,ounces,12,1.0000,baran
129,ounces,16,1.0000,baran
130,ounces,12,1.0000,baran
131,ounces,16,1.0000,baran
132,ounces,16,1.0000,baran
133,ounces,12,1.0000,baran
134,ounces,12,1.0000,baran
135,ounces,12,1.0000,baran
136,ounces,12,1.0000,baran
137,ounces,16,1.0000,baran
138,ounces,16,1.0000,baran
139,ounces,12,1.0000,baran
140,ounces,12,1.0000,baran
141,ounces,12,1.0000,baran
142,ounces,16,1.0000,baran
143,ounces,12,1.0000,baran
144,ounces,12,1.0000,baran
145,ounces,12,1.0000,baran
146,ounces,12,1.0000,baran
147,ounces,12,1.0000,baran
148,ounces,12,1.0000,baran
149,ounces,12,1.0000,baran
150,ounces,12,1.0000,baran
151,ounces,16,1.0000,baran
152,ounces,16,1.0000,baran
153,ounces,16,1.0000,baran
154,ounces,12,1.0000,baran
155,ounces,12,1.0000,baran
156,ounces,12,1.0000,baran
157,ounces,16,1.0000,baran
158,ounces,12,1.0000,baran
159,ounces,12,1.0000,baran
160,ounces,12,1.0000,baran
161,ounces,12,1.0000,baran
162,ounces,12,1.0000,baran
163,ounces,12,1.0000,baran
164,ounces,12,1.0000,baran
165,ounces,12,1.0000,baran
166,ounces,12,1.0000,baran
167,ounces,12,1.0000,baran
168,ounces,12,1.0000,baran
169,ounces,12,1.0000,baran
170,ounces,12,1.0000,baran
171,ounces,12,1.0000,baran
172,ounces,12,1.0000,baran
173,ounces,12,1.0000,baran
174,ounces,12,1.0000,baran
175,ounces,12,1.0000,baran
176,ounces,12,1.0000,baran
177,ounces,12,1.0000,baran
178,ounces,12,1.0000,baran
179,ounces,12,1.0000,baran
180,ounces,12,1.0000,baran
181,ounces,12,1.0000,baran
182,ounces,12,1.0000,baran
183,ounces,12,1.0000,baran
184,ounces,12,1.0000,baran
185,ounces,12,1.0000,baran
186,ounces,12,1.0000,baran
187,ounces,12,1.0000,baran
188,ounces,12,1.0000,baran
189,ounces,12,1.0000,baran
190,ounces,12,1.0000,baran
191,ounces,12,1.0000,baran
192,ounces,16,1.0000,baran
193,ounces,12,1.0000,baran
194,ounces,12,1.0000,baran
195,ounces,12,1.0000,baran
196,ounces,12,1.0000,baran
197,ounces,12,1.0000,baran
198,ounces,12,1.0000,baran
199,ounces,12,1.0000,baran
200,ounces,12,1.0000,baran
201,ounces,12,1.0000,baran
202,ounces,12,1.0000,baran
203,ounces,12,1.0000,baran
204,ounces,16,1.0000,baran
205,ounces,16,1.0000,baran
206,ounces,16,1.0000,baran
207,ounces,16,1.0000,baran
208,ounces,16,1.0000,baran
209,ounces,16,1.0000,baran
210,ounces,16,1.0000,baran
211,ounces,16,1.0000,baran
212,ounces,16,1.0000,baran
213,ounces,16,1.0000,baran
214,ounces,12,1.0000,baran
215,ounces,16,1.0000,baran
216,ounces,12,1.0000,baran
217,ounces,12,1.0000,baran
218,ounces,12,1.0000,baran
219,ounces,16,1.0000,baran
220,ounces,16,1.0000,baran
221,ounces,16,1.0000,baran
222,ounces,16,1.0000,baran
223,ounces,16,1.0000,baran
224,ounces,12,1.0000,baran
225,ounces,16,1.0000,baran
226,ounces,12,1.0000,baran
227,ounces,12,1.0000,baran
228,ounces,12,1.0000,baran
229,ounces,12,1.0000,baran
230,ounces,12,1.0000,baran
231,ounces,12,1.0000,baran
232,ounces,12,1.0000,baran
233,ounces,12,1.0000,baran
234,ounces,12,1.0000,baran
235,ounces,12,1.0000,baran
236,ounces,12,1.0000,baran
237,ounces,12,1.0000,baran
238,ounces,12,1.0000,baran
239,ounces,12,1.0000,baran
240,ounces,12,1.0000,baran
241,ounces,12,1.0000,baran
242,ounces,16,1.0000,baran
243,ounces,16,1.0000,baran
244,ounces,12,1.0000,baran
245,ounces,12,1.0000,baran
246,ounces,12,1.0000,baran
247,ounces,16,1.0000,baran
248,ounces,16,1.0000,baran
249,ounces,12,1.0000,baran
250,ounces,16,1.0000,baran
251,ounces,12,1.0000,baran
252,ounces,12,1.0000,baran
253,ounces,12,1.0000,baran
254,ounces,12,1.0000,baran
255,ounces,12,1.0000,baran
256,ounces,12,1.0000,baran
257,ounces,12,1.0000,baran
258,ounces,12,1.0000,baran
259,ounces,12,1.0000,baran
260,ounces,12,1.0000,baran
261,ounces,12,1.0000,baran
262,ounces,12,1.0000,baran
263,ounces,12,1.0000,baran
264,ounces,12,1.0000,baran
265,ounces,12,1.0000,baran
266,ounces,12,1.0000,baran
267,ounces,16,1.0000,baran
268,ounces,16,1.0000,baran
269,ounces,16,1.0000,baran
270,ounces,16,1.0000,baran
271,ounces,16,1.0000,baran
272,ounces,16,1.0000,baran
273,ounces,12,1.0000,baran
274,ounces,12,1.0000,baran
275,ounces,12,1.0000,baran
276,ounces,16,1.0000,baran
277,ounces,12,1.0000,baran
278,ounces,12,1.0000,baran
279,ounces,12,1.0000,baran
280,ounces,12,1.0000,baran
281,ounces,12,1.0000,baran
282,ounces,12,1.0000,baran
283,ounces,12,1.0000,baran
284,ounces,12,1.0000,baran
285,ounces,12,1.0000,baran
286,ounces,12,1.0000,baran
287,ounces,12,1.0000,baran
288,ounces,12,1.0000,baran
289,ounces,12,1.0000,baran
290,ounces,12,1.0000,baran
291,ounces,12,1.0000,baran
292,ounces,12,1.0000,baran
293,ounces,12,1.0000,baran
294,ounces,12,1.0000,baran
295,ounces,12,1.0000,baran
296,ounces,12,1.0000,baran
297,ounces,12,1.0000,baran
298,ounces,12,1.0000,baran
299,ounces,12,1.0000,baran
300,ounces,12,1.0000,baran
301,ounces,12,1.0000,baran
302,ounces,12,1.0000,baran
303,ounces,12,1.0000,baran
304,ounces,12,1.0000,baran
305,ounces,12,1.0000,baran
306,ounces,12,1.0000,baran
307,ounces,12,1.0000,baran
308,ounces,12,1.0000,baran
309,ounces,12,1.0000,baran
310,ounces,12,1.0000,baran
311,ounces,12,1.0000,baran
312,ounces,12,1.0000,baran
313,ounces,12,1.0000,baran
314,ounces,12,1.0000,baran
315,ounces,12,1.0000,baran
316,ounces,12,1.0000,baran
317,ounces,12,1.0000,baran
318,ounces,12,1.0000,baran
319,ounces,12,1.0000,baran
320,ounces,12,1.0000,baran
321,ounces,12,1.0000,baran
